date,num_adbit,num_httpsrr,adbit_perc
2024-04-01,8913,265864,3.3524659224265023
2024-04-02,8901,266670,3.337833277084035
2024-04-03,8899,266755,3.336019943393749
2024-04-04,8888,268518,3.3100201848665622
2024-04-05,8910,270300,3.296337402885681
2024-04-06,8920,269827,3.3058218784628655
2024-04-07,8836,274653,3.2171503679187907
2024-04-08,8836,272981,3.2368553122744794
2024-04-09,8826,271921,3.2457956538847665
2024-04-10,8809,272913,3.227768556279839
2024-04-11,8799,270736,3.250029549081022
2024-04-12,8806,269459,3.268029644584147
2024-04-13,8886,265673,3.3447132377019857
2024-04-14,8883,266018,3.339247720079091
2024-04-15,8858,266289,3.326461100533629
2024-04-16,8858,266289,3.326461100533629
2024-04-17,8858,266289,3.326461100533629
2024-04-18,8858,266289,3.326461100533629
2024-04-19,8858,266289,3.326461100533629
2024-04-20,8858,266289,3.326461100533629
2024-04-21,8858,266289,3.326461100533629
2024-04-22,8653,265175,3.2631281229376814
2024-04-23,8637,265543,3.2525805613403467
2024-04-24,8620,264937,3.253603686914246
2024-04-25,8603,264780,3.249112470730416
2024-04-26,8592,265081,3.2412734220860777
2024-04-27,8582,265386,3.233780229552424
2024-04-28,8565,265406,3.227131263046049
2024-04-29,8549,265321,3.222134697215824
2024-04-30,8494,264954,3.2058395042158248
2024-05-01,8929,264909,3.370591410635349
2024-05-02,8955,264226,3.3891441417574333
2024-05-03,8968,262300,3.4189858940144857
2024-05-04,8929,264081,3.3811595684657343
2024-05-05,8863,269006,3.2947220508092743
2024-05-06,8872,268068,3.3096080099079326
2024-05-07,8869,267560,3.3147705187621455
2024-05-08,8875,267003,3.3239326898948685
2024-05-09,8883,266271,3.3360749011345567
2024-05-10,8903,265733,3.350355431956135
2024-05-11,8922,265503,3.360414006621393
2024-05-12,8907,265492,3.35490334925346
2024-05-13,8909,265437,3.3563519780588225
2024-05-14,8912,264591,3.3682173618906144
2024-05-15,8916,264473,3.3712326021937953
2024-05-16,8912,264432,3.3702426332667743
2024-05-17,8920,264228,3.375872352665121
2024-05-18,9001,260167,3.4597008844319213
2024-05-19,9049,257631,3.512387872577445
2024-05-20,9059,257615,3.516487782155541
2024-05-21,9047,257455,3.51401215746441
2024-05-22,9066,256020,3.5411295992500573
2024-05-23,9065,254600,3.5604870384917504
2024-05-24,9072,255574,3.549656850853372
2024-05-25,9065,255496,3.548000751479474
2024-05-26,9073,255007,3.5579415467026383
2024-05-27,9090,254776,3.5678399849279354
2024-05-28,9072,254756,3.561054499207083
2024-05-29,9078,254662,3.5647250080498845
2024-05-30,9069,254691,3.5607854223352993
2024-05-31,9084,254598,3.56797775316381
2024-06-01,9095,254242,3.5773003673665236
2024-06-02,9108,253909,3.5871119180493785
2024-06-03,9105,253759,3.5880500790119747
2024-06-04,9102,253966,3.583944307505728
2024-06-05,9093,253989,3.580076302517037
2024-06-06,9072,253443,3.579503083533574
2024-06-07,9089,252097,3.605358254957416
2024-06-08,9094,252246,3.6052107862959164
2024-06-09,9002,255183,3.527664460406844
2024-06-10,8976,255355,3.5151064204734572
2024-06-11,9004,254598,3.536555668151359
2024-06-12,9008,254300,3.542272906016515
2024-06-13,9021,254125,3.54982784062961
2024-06-14,9019,254060,3.5499488309848055
2024-06-15,9028,253905,3.555660581713632
2024-06-16,9137,248288,3.6800006444129387
2024-06-17,9139,248526,3.6772812502514816
2024-06-18,9140,247765,3.6889794765200885
2024-06-19,9164,247061,3.7092054189046415
2024-06-20,9204,246210,3.738272206652856
2024-06-21,9207,245516,3.750061095814528
2024-06-22,9220,245340,3.7580500529876892
2024-06-23,9237,245138,3.768081651967462
2024-06-24,9237,244942,3.771096831086542
2024-06-25,9250,245032,3.775017140618367
2024-06-26,9258,244987,3.7789760272994064
2024-06-27,9265,245007,3.7815246095009516
2024-06-28,9276,245075,3.7849637865959385
2024-06-29,9288,245091,3.789612837680697
2024-06-30,9281,245337,3.782959765546981
2024-07-01,9278,245360,3.78138245842843
2024-07-02,9264,244784,3.7845610824236866
2024-07-03,9265,244433,3.790404732585206
2024-07-04,9273,244039,3.79980249058552
2024-07-05,9253,243467,3.8005150595357877
2024-07-06,9204,246506,3.733783356186055
2024-07-07,9163,249524,3.6721918532886604
2024-07-08,9173,248910,3.685267767466151
2024-07-09,9187,248218,3.701182025477603
2024-07-10,9211,248250,3.7103726082578032
2024-07-11,9211,248509,3.7065055993947893
2024-07-12,9225,248638,3.7102132417410036
2024-07-13,9234,248536,3.7153571313612503
2024-07-14,9255,247540,3.7387896905550604
2024-07-15,9356,241971,3.866579052861705
2024-07-16,9379,241935,3.8766610866555054
2024-07-17,9383,241741,3.8814268163033976
2024-07-18,9402,241416,3.8945223183218993
2024-07-19,9407,241126,3.901279828803197
2024-07-20,9451,240392,3.931495224466703
2024-07-21,9445,240380,3.929195440552457
2024-07-22,9450,240379,3.9312918349772636
2024-07-23,9462,240695,3.9311161428363683
2024-07-24,9479,240662,3.938719033333055
2024-07-25,9496,240563,3.947406708429807
2024-07-26,9509,240147,3.9596580427821277
2024-07-27,9539,239462,3.983513041735222
2024-07-28,9483,240157,3.9486669137272687
2024-07-29,9491,240687,3.9432956495365334
2024-07-30,9487,240748,3.9406350208516776
2024-07-31,9497,240734,3.94501815281597
2024-08-01,9495,241728,3.927968625893565
2024-08-02,9511,240920,3.947783496596379
2024-08-03,9435,247084,3.8185394440756975
2024-08-04,9432,247220,3.815225305396002
2024-08-05,9424,247306,3.8106637121622593
2024-08-06,9443,246981,3.8233710285406555
2024-08-07,9448,246762,3.8287904944845628
2024-08-08,9463,246087,3.8453880131823284
2024-08-09,9461,245800,3.8490642799023584
2024-08-10,9476,245787,3.8553707071570087
2024-08-11,9478,245970,3.8533154449729627
2024-08-12,9494,246226,3.8558072664950074
2024-08-13,9502,246208,3.8593384455419795
2024-08-14,9508,246189,3.8620734476357583
2024-08-15,9520,245810,3.872909971115901
2024-08-16,9522,245594,3.877130548791907
2024-08-17,9534,245610,3.881763771833393
2024-08-18,9553,246617,3.873617796015683
2024-08-19,9645,243504,3.960920559826531
2024-08-20,9715,240944,4.032057241516699
2024-08-21,9725,241350,4.029417857882741
2024-08-22,9750,241346,4.039843212649059
2024-08-23,9779,241482,4.049577194159397
2024-08-24,9793,241516,4.054803822521074
2024-08-25,9863,241134,4.090256869624357
2024-08-26,9884,241841,4.086982769670981
2024-08-27,9893,242398,4.0813043011906025
2024-08-28,9916,242773,4.084473973629685
2024-08-29,9902,242734,4.079362594444946
2024-08-30,9906,243336,4.07091429135023
2024-08-31,9911,243784,4.065484199127095
2024-09-01,9881,243831,4.052396947065795
2024-09-02,9888,244458,4.044866602852022
2024-09-03,9872,244419,4.038965874175084
2024-09-04,9762,241016,4.0503535035018405
2024-09-05,9771,241034,4.053784943203032
2024-09-06,9719,244235,3.9793641369992003
2024-09-07,9668,247284,3.909674706006048
2024-09-08,9668,247274,3.90983281703697
2024-09-09,9665,247307,3.9080980320007104
2024-09-10,9684,246903,3.9221880657586166
2024-09-11,9692,246894,3.9255712978039146
2024-09-12,9718,247163,3.931818273770749
2024-09-13,9730,247629,3.9292651506891345
2024-09-14,9752,247687,3.937227226297705
2024-09-15,9758,247937,3.9356772083230807
2024-09-16,9830,244933,4.013342424254795
2024-09-17,9917,242881,4.083069486703364
2024-09-18,9921,242187,4.096421360353775
2024-09-19,9929,242020,4.102553507974546
2024-09-20,9945,241684,4.114877277767662
2024-09-21,9958,241450,4.12424932698281
2024-09-22,9986,241738,4.13091859782078
2024-09-23,10000,241612,4.13886727480423
2024-09-24,10014,241871,4.140223507572217
2024-09-25,10014,241408,4.148164103923646
2024-09-26,10016,241174,4.153018152868881
2024-09-27,10014,240479,4.164188972841702
2024-09-28,10019,239584,4.181831841859221
2024-09-29,10004,240196,4.164931972222683
2024-09-30,10000,240232,4.162642778647306
2024-10-01,9991,239802,4.166353908641295
2024-10-02,9983,239635,4.165919001815259
2024-10-03,9985,238825,4.180885585679889
2024-10-04,9917,241045,4.11416955340289
2024-10-05,9896,242966,4.072997868014453
2024-10-06,9892,242516,4.078906134028268
2024-10-07,9898,242226,4.086266544466736
2024-10-08,9913,241738,4.100720614880571
2024-10-09,9927,241346,4.113181904817149
2024-10-10,9923,241870,4.1026171083639955
2024-10-11,9923,241805,4.103719939620768
2024-10-12,9932,241754,4.108308445775457
2024-10-13,9949,241684,4.116532331474155
2024-10-14,9980,239687,4.1637635749957225
2024-10-15,10079,235313,4.283231270690526
2024-10-16,10091,235049,4.293147386289665
2024-10-17,10101,234501,4.307444317934677
2024-10-18,10102,234621,4.305667438123611
2024-10-19,10105,234454,4.310013904646539
2024-10-20,10150,233965,4.338255722009701
2024-10-21,10182,234441,4.343096983889335
2024-10-22,10178,234701,4.336581437658977
2024-10-23,10174,235060,4.328256615332254
2024-10-24,10173,234362,4.340720765311781
2024-10-25,10181,234155,4.347974632188079
2024-10-26,10155,233931,4.341023635174473
2024-10-27,10131,234175,4.326251734813706
2024-10-28,10124,233771,4.33073392336945
2024-10-29,10128,233634,4.33498549012558
2024-10-30,10150,235265,4.314283892631711
2024-10-31,10153,235809,4.305603263658298
2024-11-01,10076,240653,4.186941363706247
2024-11-02,10085,239606,4.208993097000908
2024-11-03,10101,239652,4.214861549246406
2024-11-04,10104,239951,4.210859717192259
2024-11-05,10099,239864,4.210302504752692
2024-11-06,10092,239965,4.205613318608962
2024-11-07,10087,240129,4.2006588125549165
2024-11-08,10086,240619,4.191688935620212
2024-11-09,10096,240798,4.1927258532047595
2024-11-10,10093,240878,4.190087928328862
2024-11-11,10092,242147,4.1677163045588
2024-11-12,10096,242386,4.165257069302681
2024-11-13,10103,242504,4.166116847557152
2024-11-14,10104,242506,4.166494849611967
2024-11-15,10111,242720,4.165705339485826
2024-11-16,10110,242939,4.161538493201996
2024-11-17,10095,242907,4.155911521693486
2024-11-18,10094,243398,4.147117067519042
2024-11-19,10181,239013,4.259600942208163
2024-11-20,10211,237507,4.299241706560226
2024-11-21,10207,237101,4.304916470196244
2024-11-22,10201,237025,4.303765425588017
2024-11-23,10213,236933,4.310501280952842
2024-11-24,10212,237195,4.305318408904065
2024-11-25,10238,236724,4.324867778509994
2024-11-26,10230,236671,4.322456067705801
2024-11-27,10235,236550,4.326780807440286
2024-11-28,10230,236283,4.329553967064916
2024-11-29,10212,235356,4.338958853821444
2024-11-30,10208,234568,4.351829746598
2024-12-01,10190,233736,4.359619399664577
2024-12-02,10192,232183,4.389640929783833
2024-12-03,10217,231920,4.405398413245945
2024-12-04,10234,232155,4.408261721694556
2024-12-05,10253,231964,4.420082426583433
2024-12-06,10178,236121,4.3105018189826385
2024-12-07,10172,236572,4.29974806824138
2024-12-08,10173,236570,4.300207126854629
2024-12-09,10182,235870,4.316784669521345
2024-12-10,10209,234754,4.348807688047913
2024-12-11,10220,234620,4.355979882362968
2024-12-12,10244,234532,4.367847457916189
2024-12-13,10242,234320,4.37094571526118
2024-12-14,10241,234399,4.369045943028765
2024-12-15,10243,234557,4.366955580093537
2024-12-16,10275,233751,4.395703119986651
2024-12-17,10379,228509,4.542053048238799
2024-12-18,6674,227864,2.928940069515148
2024-12-19,10412,227363,4.579461038075674
2024-12-20,10420,227237,4.5855208438766555
2024-12-21,10410,227378,4.578279341009242
2024-12-22,10448,226661,4.609527002880952
2024-12-23,10451,227046,4.603031984707943
2024-12-24,10457,227722,4.59200252939988
2024-12-25,10454,228325,4.578561261359902
2024-12-26,10451,229137,4.561026809288764
2024-12-27,10439,229980,4.5390903556831015
2024-12-28,10436,228335,4.570477587754832
2024-12-29,10441,229242,4.55457551408555
2024-12-30,10432,229481,4.545910118920519
2024-12-31,10410,230515,4.515975099234321
2025-01-01,10381,269379,3.853678274846961
2025-01-02,10344,270799,3.819807310957572
2025-01-03,10258,275132,3.72839218993065
2025-01-04,10235,275607,3.713621207008529
2025-01-05,10212,276064,3.6991422278891837
2025-01-06,10178,277576,3.6667435224947384
2025-01-07,10165,277530,3.6626670990523533
2025-01-08,10145,277869,3.651001011267898
2025-01-09,10124,277422,3.6493140414242546
2025-01-10,10120,277739,3.643708661729176
2025-01-11,10096,277972,3.6320204912725007
2025-01-12,10082,277812,3.6290728982189377
2025-01-13,10066,277661,3.6252840694227837
2025-01-14,10057,277139,3.6288649378109885
2025-01-15,10050,276254,3.6379563734823734
2025-01-16,10045,275659,3.6439949357720938
2025-01-17,10034,274899,3.6500678430987366
2025-01-18,10026,274254,3.655735194381849
2025-01-19,10021,273104,3.6692981428320333
2025-01-20,10011,271830,3.6828164661737097
2025-01-21,10010,268825,3.723612015251556
2025-01-22,10002,264201,3.7857540281830864
2025-01-23,9998,262718,3.80560144337274
2025-01-24,9982,261787,3.813023564959298
2025-01-25,9982,261787,3.813023564959298
2025-01-26,9982,261787,3.813023564959298
2025-01-27,9966,257263,3.8738567147238414
2025-01-28,9904,259656,3.8142773515728488
2025-01-29,9880,258813,3.81742802718565
2025-01-30,9888,257948,3.833330748833097
2025-01-31,9848,254912,3.8632939994978646
2025-02-01,9835,254187,3.869198660828444
2025-02-02,9830,253301,3.8807584652251657
2025-02-03,9820,253231,3.877882249803538
2025-02-04,9801,252625,3.8796635329045013
2025-02-05,9790,253231,3.866035359020024
2025-02-06,9742,259536,3.75362184822144
2025-02-07,9738,257666,3.779311201322641
2025-02-08,9727,255822,3.802253129128846
2025-02-09,9728,254848,3.81717729784028
2025-02-10,9728,254848,3.81717729784028
2025-02-11,9728,254848,3.81717729784028
2025-02-12,9716,254124,3.823330342667358
2025-02-13,9707,254645,3.811973531779535
2025-02-14,9701,254518,3.8115182423247065
2025-02-15,9698,254608,3.8089926475208937
