date,num_rrsig,num_httpsrr,rrsig_perc
2024-04-01,10749,90169,11.920948441260286
2024-04-02,10731,89737,11.958278079276093
2024-04-03,10694,89146,11.99605142126398
2024-04-04,10691,88856,12.031826775907073
2024-04-05,10689,88561,12.069646910039394
2024-04-06,10682,88294,12.09821731941014
2024-04-07,10603,87277,12.14867605440149
2024-04-08,10592,87044,12.168558430219186
2024-04-09,10583,86913,12.176544360452391
2024-04-10,10563,86710,12.181985930111853
2024-04-11,10543,86466,12.193232021835158
2024-04-12,10550,86454,12.203021259860721
2024-04-13,10617,87180,12.178251892635911
2024-04-14,10611,86989,12.198094011886546
2024-04-15,10601,86825,12.20961704578173
2024-04-16,10601,86825,12.20961704578173
2024-04-17,10601,86825,12.20961704578173
2024-04-18,10601,86825,12.20961704578173
2024-04-19,10601,86825,12.20961704578173
2024-04-20,10601,86825,12.20961704578173
2024-04-21,10601,86825,12.20961704578173
2024-04-22,10636,86709,12.26631606868951
2024-04-23,10628,86510,12.285284938157425
2024-04-24,10639,86378,12.316793628007117
2024-04-25,10649,86401,12.32508882999038
2024-04-26,10653,86283,12.346580438788623
2024-04-27,10650,86156,12.361298110404368
2024-04-28,10653,86173,12.362340872431025
2024-04-29,10650,86065,12.374368210073767
2024-04-30,10609,85501,12.408042011204532
2024-05-01,10575,84952,12.448206045767007
2024-05-02,10575,84863,12.461261091406135
2024-05-03,10572,84706,12.480815998866653
2024-05-04,10537,84254,12.506231158164582
2024-05-05,10456,83283,12.554783088985731
2024-05-06,10463,83270,12.565149513630343
2024-05-07,10457,83279,12.5565868946553
2024-05-08,10457,83255,12.560206594198531
2024-05-09,10461,83250,12.56576576576575
2024-05-10,10465,83266,12.568155069295976
2024-05-11,10481,83325,12.578457845784563
2024-05-12,10483,83352,12.576782800652639
2024-05-13,10473,83286,12.574742453713695
2024-05-14,10476,83250,12.583783783783769
2024-05-15,10481,83185,12.599627336659237
2024-05-16,10480,83091,12.612677666654616
2024-05-17,10476,82944,12.630208333333318
2024-05-18,10541,83831,12.574107430425483
2024-05-19,10581,84244,12.559944921893532
2024-05-20,10585,84190,12.57275210832639
2024-05-21,10577,84113,12.574750633076917
2024-05-22,10616,84752,12.525958089484599
2024-05-23,10641,85023,12.515436999400148
2024-05-24,10652,85109,12.515715141759376
2024-05-25,10649,85106,12.512631306840866
2024-05-26,10661,85048,12.53527419809988
2024-05-27,10666,84997,12.548678188641937
2024-05-28,10662,85135,12.52363892641098
2024-05-29,10665,85078,12.535555607795185
2024-05-30,10659,85056,12.531743792325042
2024-05-31,10670,85113,12.536275304595053
2024-06-01,10675,85100,12.544065804935356
2024-06-02,10669,85003,12.551321718056995
2024-06-03,10672,84977,12.558692352048187
2024-06-04,10670,85006,12.552055149048288
2024-06-05,10653,84722,12.574065768041343
2024-06-06,10621,84107,12.627962000784699
2024-06-07,10626,84182,12.622650923000151
2024-06-08,10625,84120,12.63076557299095
2024-06-09,10550,83223,12.676784062098202
2024-06-10,10549,83126,12.69037364964029
2024-06-11,10583,83276,12.708343340218054
2024-06-12,10586,83259,12.714541370902829
2024-06-13,10590,83154,12.735406594992408
2024-06-14,10594,83087,12.750490449769503
2024-06-15,10599,83070,12.759118815456828
2024-06-16,10699,84489,12.663186923741536
2024-06-17,10699,84456,12.668134886804948
2024-06-18,10705,84474,12.672538295806978
2024-06-19,10713,84430,12.688617789885097
2024-06-20,10771,85279,12.63030757865358
2024-06-21,10782,85375,12.628989751098082
2024-06-22,10792,85395,12.637742256572384
2024-06-23,10806,85441,12.647323884317819
2024-06-24,10815,85419,12.661117549959595
2024-06-25,10819,85376,12.672179535232369
2024-06-26,10823,85398,12.673598913323483
2024-06-27,10805,85364,12.657560564172236
2024-06-28,10809,85318,12.669073349117404
2024-06-29,10802,85230,12.673941100551433
2024-06-30,10802,85183,12.680933989176228
2024-07-01,10796,85122,12.682972674514211
