date,num_rrsig,num_httpsrr,rrsig_perc
2024-04-01,17804,99413,17.909126572983393
2024-04-02,17774,98991,17.955167641502744
2024-04-03,17706,98349,18.003233383155884
2024-04-04,17684,98022,18.04084797290402
2024-04-05,17669,97713,18.082547869781894
2024-04-06,17652,97429,18.117808865943385
2024-04-07,17529,96320,18.198712624584697
2024-04-08,17510,96053,18.22951911965267
2024-04-09,17502,95925,18.24550430023454
2024-04-10,17476,95720,18.257417467613855
2024-04-11,17454,95486,18.27911945206625
2024-04-12,17471,95480,18.29807289484707
2024-04-13,17601,96290,18.279156714092824
2024-04-14,17591,96094,18.306033675359526
2024-04-15,17582,95919,18.330049312440686
2024-04-16,17582,95919,18.330049312440686
2024-04-17,17582,95919,18.330049312440686
2024-04-18,17582,95919,18.330049312440686
2024-04-19,17582,95919,18.330049312440686
2024-04-20,17582,95919,18.330049312440686
2024-04-21,17582,95919,18.330049312440686
2024-04-22,17188,93177,18.446612361419643
2024-04-23,17624,95690,18.417807503396364
2024-04-24,17623,95555,18.442781644079307
2024-04-25,17634,95583,18.448887354445855
2024-04-26,17624,95439,18.46624545521221
2024-04-27,17613,95303,18.48105516090782
2024-04-28,17598,95321,18.46182897787474
2024-04-29,17589,95186,18.47855777110077
2024-04-30,17524,94612,18.521963387308144
2024-05-01,17453,94004,18.566231224203204
2024-05-02,17439,93902,18.571489425145344
2024-05-03,17438,93745,18.601525414688762
2024-05-04,17386,93250,18.644504021447702
2024-05-05,17258,92196,18.718816434552455
2024-05-06,17284,92219,18.742341599887204
2024-05-07,17272,92197,18.733798279770472
2024-05-08,17277,92174,18.743897411417517
2024-05-09,17265,92155,18.734740383050276
2024-05-10,17273,92140,18.746472758845215
2024-05-11,17291,92209,18.751965643266907
2024-05-12,17296,92245,18.750067754349807
2024-05-13,17288,92173,18.75603484751498
2024-05-14,17295,92132,18.771979333999024
2024-05-15,17300,92075,18.78903068150962
2024-05-16,17285,91975,18.79315031258492
2024-05-17,17281,91823,18.81990351001381
2024-05-18,17397,92777,18.751414682518277
2024-05-19,17462,93249,18.726206179154715
2024-05-20,17478,93199,18.753420101074024
2024-05-21,17480,93149,18.76563355484222
2024-05-22,17542,93809,18.699698323188585
2024-05-23,17584,94131,18.68034972538269
2024-05-24,17595,94127,18.692829900028663
2024-05-25,17587,94101,18.689493204110455
2024-05-26,17602,94043,18.71696989674934
2024-05-27,17609,94013,18.730388350547244
2024-05-28,17606,94157,18.698556665994012
2024-05-29,17606,94117,18.70650360721228
2024-05-30,17611,94117,18.71181614373597
2024-05-31,17618,94184,18.705937314193473
2024-06-01,17623,94188,18.71045143755041
2024-06-02,17618,94096,18.7234313892195
2024-06-03,17630,94071,18.74116358920388
2024-06-04,17629,94107,18.732931662894345
2024-06-05,17609,93823,18.768319068885006
2024-06-06,17524,93119,18.818930615663806
2024-06-07,17547,93222,18.822810066293343
2024-06-08,17559,93174,18.84538605190287
2024-06-09,17442,92181,18.921469717186817
2024-06-10,17441,92097,18.9376418341531
2024-06-11,17479,92264,18.944550420532366
2024-06-12,17484,92259,18.95099665073324
2024-06-13,17491,92171,18.976684640505127
2024-06-14,17508,92134,19.0027568541472
2024-06-15,17514,92135,19.009062788299758
2024-06-16,17660,93678,18.851811524584193
2024-06-17,17669,93664,18.86423812777586
2024-06-18,17684,93700,18.87299893276412
2024-06-19,17699,93681,18.89283846244167
2024-06-20,17789,94638,18.796889198841882
2024-06-21,17832,94782,18.81369880357028
2024-06-22,17843,94798,18.822127049093844
2024-06-23,17860,94869,18.825960008011027
2024-06-24,17875,94868,18.841969895011996
2024-06-25,17853,94800,18.832278481012636
2024-06-26,17848,94803,18.826408446990055
2024-06-27,17807,94756,18.79247752121236
2024-06-28,17829,94708,18.825231237065488
2024-06-29,17815,94620,18.827943352356776
2024-06-30,17799,94556,18.823765810736475
2024-07-01,17801,94510,18.83504391069726
2024-07-02,17711,93823,18.877034415868156
2024-07-03,17699,93519,18.92556592777936
