date,num_adbit
2024-04-01,5790
2024-04-02,5785
2024-04-03,5770
2024-04-04,5769
2024-04-05,5771
2024-04-06,5770
2024-04-07,5729
2024-04-08,5724
2024-04-09,5720
2024-04-10,5710
2024-04-11,5699
2024-04-12,5701
2024-04-13,5736
2024-04-14,5735
2024-04-15,5722
2024-05-01,5724
2024-05-02,5722
2024-05-03,5722
2024-05-04,5705
2024-05-05,5671
2024-05-06,5673
2024-05-07,5672
2024-05-08,5675
2024-05-09,5675
2024-05-10,5676
2024-05-11,5684
2024-05-12,5677
2024-05-13,5677
2024-05-14,5682
2024-05-15,5683
2024-05-16,5684
2024-05-17,5677
2024-05-18,5715
2024-05-19,5737
2024-05-20,5741
2024-05-21,5739
2024-05-22,5754
2024-05-23,5762
2024-05-24,5766
2024-05-25,5765
2024-05-26,5776
2024-05-27,5778
2024-05-28,5778
2024-05-29,5779
2024-05-30,5774
2024-05-31,5773
2024-06-01,5780
2024-06-02,5780
2024-06-03,5781
2024-06-04,5779
2024-06-05,5771
2024-06-06,5752
2024-06-07,5758
2024-06-08,5760
2024-06-09,5722
2024-06-10,5716
2024-06-11,5730
2024-06-12,5729
2024-06-13,5732
2024-06-14,5733
2024-06-15,5736
2024-06-16,5783
2024-06-17,5788
2024-06-18,5792
2024-06-19,5806
2024-06-20,5842
2024-06-21,5848
2024-06-22,5850
2024-06-23,5862
2024-06-24,5865
2024-06-25,5868
2024-06-26,5872
2024-06-27,5864
2024-06-28,5863
2024-06-29,5861
2024-06-30,5859
2024-07-01,5857
2024-07-02,5845
2024-07-03,5842
2024-07-04,5842
2024-07-05,5835
2024-07-06,5814
2024-07-07,5800
2024-07-08,5801
2024-07-09,5812
2024-07-10,5814
2024-07-11,5808
2024-07-12,5819
2024-07-13,5816
2024-07-14,5823
2024-07-15,5867
2024-07-16,5875
2024-07-17,5883
2024-07-18,5892
2024-07-19,5899
2024-07-20,5916
2024-07-21,5916
2024-07-22,5911
2024-07-23,5920
2024-07-24,5926
2024-07-25,5928
2024-07-26,5935
2024-07-27,5949
2024-07-28,5910
2024-07-29,5908
2024-07-30,5907
2024-07-31,5909
2024-08-01,5912
2024-08-02,5917
2024-08-03,5891
2024-08-04,5892
2024-08-05,5890
2024-08-06,5897
2024-08-07,5908
2024-08-08,5910
2024-08-09,5917
2024-08-10,5924
2024-08-11,5926
2024-08-12,5937
2024-08-13,5953
2024-08-14,5959
2024-08-15,5977
2024-08-16,5975
2024-08-17,5985
2024-08-18,5994
2024-08-19,6030
2024-08-20,6061
2024-08-21,6068
2024-08-22,6075
2024-08-23,6098
2024-08-24,6103
2024-08-25,6130
2024-08-26,6132
2024-08-27,6133
2024-08-28,6143
2024-08-29,6144
2024-08-30,6147
2024-08-31,6148
2024-09-01,6136
2024-09-02,6134
2024-09-03,6124
2024-09-04,6052
2024-09-05,6057
2024-09-06,6046
2024-09-07,6023
2024-09-08,6022
2024-09-09,6023
2024-09-10,6036
2024-09-11,6032
2024-09-12,6034
2024-09-13,6034
2024-09-14,6044
2024-09-15,6043
2024-09-16,6068
2024-09-17,6085
2024-09-18,6085
2024-09-19,6088
2024-09-20,6099
2024-09-21,6112
2024-09-22,6123
2024-09-23,6123
2024-09-24,6125
2024-09-25,6128
2024-09-26,6135
2024-09-27,6145
2024-09-28,6145
2024-09-29,6139
2024-09-30,6132
2024-10-01,6126
2024-10-02,6126
2024-10-03,6125
2024-10-04,6107
2024-10-05,6104
2024-10-06,6105
2024-10-07,6108
2024-10-08,6107
2024-10-09,6108
2024-10-10,6106
2024-10-11,6107
2024-10-12,6107
2024-10-13,6111
2024-10-14,6116
2024-10-15,6145
2024-10-16,6144
2024-10-17,6146
2024-10-18,6146
2024-10-19,6148
2024-10-20,6173
2024-10-21,6178
2024-10-22,6178
2024-10-23,6170
2024-10-24,6175
2024-10-25,6178
2024-10-26,6173
2024-10-27,6161
2024-10-28,6154
2024-10-29,6156
2024-10-30,6163
2024-10-31,6160
2024-11-01,6134
2024-11-02,6143
2024-11-03,6141
2024-11-04,6132
2024-11-05,6126
2024-11-06,6133
2024-11-07,6140
2024-11-08,6141
2024-11-09,6149
2024-11-10,6152
2024-11-11,6145
2024-11-12,6158
2024-11-13,6162
2024-11-14,6168
2024-11-15,6160
2024-11-16,6164
2024-11-17,6157
2024-11-18,6155
2024-11-19,6184
2024-11-20,6195
2024-11-21,6199
2024-11-22,6195
2024-11-23,6202
2024-11-24,6194
2024-11-25,6215
2024-11-26,6215
2024-11-27,6216
2024-11-28,6212
2024-11-29,6212
2024-11-30,6212
2024-12-01,6198
2024-12-02,6193
2024-12-03,6200
2024-12-04,6199
2024-12-05,6205
2024-12-06,6181
2024-12-07,6173
2024-12-08,6167
2024-12-09,6169
2024-12-10,6176
2024-12-11,6172
2024-12-12,6186
2024-12-13,6184
2024-12-14,6177
2024-12-15,6181
2024-12-16,6185
2024-12-17,6225
2024-12-18,4757
2024-12-19,6232
2024-12-20,6237
2024-12-21,6238
2024-12-22,6258
2024-12-23,6257
2024-12-24,6254
2024-12-25,6251
2024-12-26,6251
2024-12-27,6251
2024-12-28,6229
2024-12-29,6235
2024-12-30,6233
2024-12-31,6230
