date,num_adbit
2024-04-01,14910
2024-04-02,14895
2024-04-03,14883
2024-04-04,14873
2024-04-05,14869
2024-04-06,14862
2024-04-07,14800
2024-04-08,14790
2024-04-09,14794
2024-04-10,14763
2024-04-11,14746
2024-04-12,14735
2024-04-13,14801
2024-04-14,14792
2024-04-15,14779
2024-04-16,14402
2024-04-17,14700
2024-04-18,14698
2024-04-19,14681
2024-04-20,14663
2024-04-21,14647
2024-04-22,14286
2024-04-23,14738
2024-04-24,14741
2024-04-25,14742
2024-04-26,14742
2024-04-27,14733
2024-04-28,14727
2024-04-29,14718
2024-04-30,14670
2024-05-01,14641
2024-05-02,14636
2024-05-03,14640
2024-05-04,14610
2024-05-05,14536
2024-05-06,14561
2024-05-07,14552
2024-05-08,14557
2024-05-09,14545
2024-05-10,14545
2024-05-11,14553
2024-05-12,14552
2024-05-13,14553
2024-05-14,14559
2024-05-15,14567
2024-05-16,14552
2024-05-17,14542
2024-05-18,14605
2024-05-19,14641
2024-05-20,14653
2024-05-21,14644
2024-05-22,14644
2024-05-23,14642
2024-05-24,14643
2024-05-25,14634
2024-05-26,14637
2024-05-27,14644
2024-05-28,14633
2024-05-29,14627
2024-05-30,14624
2024-05-31,14621
2024-06-01,14620
2024-06-02,14619
2024-06-03,14623
2024-06-04,14622
2024-06-05,14620
2024-06-06,14583
2024-06-07,14589
2024-06-08,14588
2024-06-09,14535
2024-06-10,14525
2024-06-11,14545
2024-06-12,14526
2024-06-13,14535
2024-06-14,14546
2024-06-15,14548
2024-06-16,14607
2024-06-17,14610
2024-06-18,14604
2024-06-19,14611
2024-06-20,14631
2024-06-21,14660
2024-06-22,14664
2024-06-23,14671
2024-06-24,14671
2024-06-25,14662
2024-06-26,14647
2024-06-27,14613
2024-06-28,14626
2024-06-29,14614
2024-06-30,14610
2024-07-01,14613
2024-07-02,14577
2024-07-03,14576
2024-07-04,14574
2024-07-05,14560
2024-07-06,14527
2024-07-07,14493
2024-07-08,14504
2024-07-09,14517
2024-07-10,14520
2024-07-11,14522
2024-07-12,14528
2024-07-13,14532
2024-07-14,14545
2024-07-15,14602
2024-07-16,14609
2024-07-17,14621
2024-07-18,14641
2024-07-19,14640
2024-07-20,14660
2024-07-21,14645
2024-07-22,14644
2024-07-23,14644
2024-07-24,14662
2024-07-25,14669
2024-07-26,14668
2024-07-27,14664
2024-07-28,14631
2024-07-29,14630
2024-07-30,14624
2024-07-31,14628
2024-08-01,14620
2024-08-02,14633
2024-08-03,14606
2024-08-04,14606
2024-08-05,14604
2024-08-06,14610
2024-08-07,14616
2024-08-08,14620
2024-08-09,14593
2024-08-10,14601
2024-08-11,14607
2024-08-12,14611
2024-08-13,14626
2024-08-14,14610
2024-08-15,14608
2024-08-16,14614
2024-08-17,14625
2024-08-18,14629
2024-08-19,14670
2024-08-20,14698
2024-08-21,14695
2024-08-22,14704
2024-08-23,14741
2024-08-24,14747
2024-08-25,14778
2024-08-26,14782
2024-08-27,14683
2024-08-28,14667
2024-08-29,14664
2024-08-30,14654
2024-08-31,14661
2024-09-01,14658
2024-09-02,14657
2024-09-03,14653
2024-09-04,14596
2024-09-05,14607
2024-09-06,14574
2024-09-07,14556
2024-09-08,14557
2024-09-09,14540
2024-09-10,14555
2024-09-11,14554
2024-09-12,14574
2024-09-13,14585
2024-09-14,14594
2024-09-15,14603
2024-09-16,14623
2024-09-17,14646
2024-09-18,14642
2024-09-19,14663
2024-09-20,14686
2024-09-21,14676
2024-09-22,14670
2024-09-23,14671
2024-09-24,14675
2024-09-25,14673
2024-09-26,14673
2024-09-27,14680
2024-09-28,14679
2024-09-29,14676
2024-09-30,14669
2024-10-01,14665
2024-10-02,14663
2024-10-03,14661
2024-10-04,14654
2024-10-05,14637
2024-10-06,14640
2024-10-07,14644
2024-10-08,14639
2024-10-09,14647
2024-10-10,14647
2024-10-11,14644
2024-10-12,14650
2024-10-13,14656
2024-10-14,14666
2024-10-15,14690
2024-10-16,14690
2024-10-17,14696
2024-10-18,14708
2024-10-19,14705
2024-10-20,14704
2024-10-21,14719
2024-10-22,14710
2024-10-23,14713
2024-10-24,14694
2024-10-25,14715
2024-10-26,14695
2024-10-27,14693
2024-10-28,14690
2024-10-29,14702
2024-10-30,14706
2024-10-31,14706
2024-11-01,14692
2024-11-02,14683
2024-11-03,14678
2024-11-04,14679
2024-11-05,14678
2024-11-06,14675
2024-11-07,14675
2024-11-08,14677
2024-11-09,14693
2024-11-10,14690
2024-11-11,14690
2024-11-12,14691
2024-11-13,14679
2024-11-14,14677
2024-11-15,14669
2024-11-16,14670
2024-11-17,14669
2024-11-18,14667
2024-11-19,14699
2024-11-20,14703
2024-11-21,14709
2024-11-22,14715
2024-11-23,14723
2024-11-24,14719
2024-11-25,14710
2024-11-26,14710
2024-11-27,14713
2024-11-28,14708
2024-11-29,14702
2024-11-30,14700
2024-12-01,14689
2024-12-02,14683
2024-12-03,14693
2024-12-04,14692
2024-12-05,14705
2024-12-06,14690
2024-12-07,14684
2024-12-08,14680
2024-12-09,14682
2024-12-10,14679
2024-12-11,14689
2024-12-12,14695
2024-12-13,14702
2024-12-14,14698
2024-12-15,14698
2024-12-16,14708
2024-12-17,14744
2024-12-19,14746
2024-12-20,14750
2024-12-21,14759
2024-12-22,14769
2024-12-23,14754
2024-12-24,14756
2024-12-25,14765
2024-12-26,14754
2024-12-27,14751
2024-12-28,14746
2024-12-29,14750
2024-12-30,14736
2024-12-31,14730
